"Company","Website","Nearest_Office","Benefits_URL","Notes"
"Timberland (VF Corp)","https://www.timberland.com","Stratham, NH","https://www.timberland.com/en-us/about-us/careers","Approx. 4,000 employees within Timberland brand. Careers pages highlight health benefits, PTO and volunteer time. Notes emphasize paid time off and seasonal workloads enabling multi‑week personal travel planning."
"Lindt & Sprüngli (USA)","https://www.lindtusa.com","Stratham, NH","https://jobs.lindtusa.com/","Approx. 1,500 employees in U.S. Careers pages highlight competitive benefits with PTO/holidays and development programs. Notes focus on production/retail seasonality and paid time off supporting longer personal travel."
"Watts Water (Global HQ)","https://www.watts.com","North Andover, MA","https://www.watts.com/careers","Approx. 5,000 employees. Additional entry confirms HQ presence near Salem; benefits include PTO/holidays and wellbeing. Notes stress coordinated PTO and project planning that supports extended personal travel."
"Unitil (HQ)","https://unitil.com","Hampton, NH","https://unitil.com/careers","Approx. 500 employees. Careers pages detail benefits with PTO/holidays and retirement. Notes emphasize scheduled maintenance and predictable utility operations enabling longer personal travel windows."
"Exeter Hospital (System)","https://www.exeterhospital.com","Exeter, NH","https://www.exeterhospital.com/careers","Approx. 2,500 employees. System careers pages outline benefits with PTO/holidays and wellbeing programs. Notes emphasize clinical scheduling and PTO enabling multi‑week personal travel for eligible roles."
"Phillips Exeter Academy","https://www.exeter.edu","Exeter, NH","https://www.exeter.edu/about-us/working-exeter","Approx. 1,000 employees. HR outlines school benefits with paid leave and holidays. Notes emphasize academic calendar (summers and breaks) supporting extended personal travel; avoids unverified travel discount portals."
"Straumann Group (Andover)","https://www.straumann.com","Andover, MA","https://www.straumann.com/group/en/careers.html","Approx. 10,000 employees globally. Careers resources list benefits with PTO and holidays; local site roles follow project schedules. Notes focus on paid time off and scheduling enabling longer personal travel."
"Smith & Nephew (Andover)","https://www.smith-nephew.com","Andover, MA","https://www.smith-nephew.com/careers/","Approx. 19,000 employees. Global careers pages describe comprehensive benefits including PTO and holidays; hybrid options by role. Notes emphasize time‑off enabling extended personal travel without asserting unverified travel discount claims."
"New England Biolabs","https://www.neb.com","Ipswich, MA","https://www.neb.com/en-us/about-neb/careers","Approx. 1,500 employees. Careers pages and employer profiles describe robust benefits with paid time off, wellness and campus amenities. Notes emphasize academic‑like calendar flows and PTO enabling multi‑week personal travel; avoids unverified discount portals."
"HP Hood","https://www.hood.com","Lynnfield, MA","https://hood.com/careers","Approx. 3,000 employees. Careers information highlights competitive benefits including PTO/holidays and wellness programs. Notes emphasize manufacturing and corporate scheduling plus paid time off supporting extended personal travel planning."
"GE Aerospace (Lynn)","https://www.geaerospace.com","Lynn, MA","https://careers.geaerospace.com/global/en/lynn","Approx. 125,000 employees globally. Careers hub highlights benefits, PTO/holidays and flexible options by role. Notes emphasize program schedules and planned downtime that support longer personal travel; avoids unverified travel discount claims."
"Axcelis Technologies","https://www.axcelis.com","Beverly, MA","https://www.axcelis.com/careers/benefits/","Approx. 1,600 employees. Benefits pages outline Total Rewards with PTO/holidays and wellbeing resources. Notes emphasize engineering release cycles and scheduled shutdowns enabling multi‑week personal travel for eligible roles."
"Harmonic Drive LLC","https://www.harmonicdrive.net","Peabody, MA","https://www.harmonicdrive.net/careers","Approx. 300 employees. Careers pages describe competitive benefits and growing operations. Notes emphasize manufacturing schedules and paid time off enabling planning for extended personal travel without asserting external travel discount marketplaces."
"Monotype","https://www.monotype.com","Woburn, MA","https://www.monotype.com/company/careers","Approx. 1,200 employees. Careers pages and local office profiles describe comprehensive benefits and flexible/hybrid options by team. Notes emphasize PTO/holidays and project calendars supporting longer personal travel planning."
"RSA Security","https://www.rsa.com","Bedford, MA","https://www.builtinboston.com/company/rsa-security","Approx. 2,000 employees. Public employer profiles describe strong benefits, flexible work by team, and development programs. Notes emphasize using paid time off and coordinated coverage to plan extended personal travel."
"Amazon Robotics","https://www.aboutamazon.com","North Reading, MA","https://amazon.jobs/en/teams/amazon-robotics","Approx. 1,500 employees in Robotics (Amazon larger). Careers pages outline benefits, PTO and flexible options by role. Notes emphasize release cycles and laboratory/production scheduling enabling multi‑week personal travel planning."
"Londonderry School District","https://www.londonderry.org","Londonderry, NH","https://www.londonderry.org/employment","Approx. 800 employees. HR pages describe school‑year schedules, paid holidays for eligible roles, and benefits eligibility by hours. Notes emphasize academic calendar and summers supporting extended personal travel; avoids unverified discount programs."
"Derry Cooperative School District","https://www.sau10.nh.gov","Derry, NH","https://www.applitrack.com/derry/onlineapp/default.aspx","Approx. 900 employees. Public postings note benefits for eligible positions and school‑year schedules. Notes emphasize academic breaks and summers enabling multi‑week personal travel; avoids asserting external discount marketplaces."
"Salem School District (NH)","https://sau57.org","Salem, NH","https://sau57.org/human-resources/employment","Approx. 800 employees. HR site and application portal outline employment info and benefits by contract. Notes emphasize school‑year calendar with summers and holiday breaks supporting longer personal travel."
"North Andover Public Schools","https://www.northandoverpublicschools.com","North Andover, MA","https://www.northandoverpublicschools.com/departments/human-resources","Approx. 900 employees. HR pages outline policies, access to benefits information and employment resources. Notes emphasize academic calendar windows and PTO allowing multi‑week personal travel for many roles."
"Andover Public Schools","https://www.aps1.net","Andover, MA","https://www.aps1.net/page/human-resources","Approx. 1,000 employees. HR pages describe employment benefits supporting staff and families. Notes emphasize school‑year schedules and paid time off enabling extended personal travel; avoids unverified travel discount program claims."
"Haverhill Public Schools","https://www.haverhill-ps.org","Haverhill, MA","https://www.haverhill-ps.org/hr/","Approx. 1,800 employees. HR site lists employee benefits, contracts and employment opportunities. Notes focus on academic calendar breaks and paid time off allowing planning for longer personal travel for eligible roles."
"Peabody Public Schools","https://peabody.k12.ma.us","Peabody, MA","https://peabody.k12.ma.us/departments/human-resources/","Approx. 1,000 employees. HR pages provide benefits and payroll resources; benefits info posted annually. Notes emphasize school‑year structure and paid leave policies enabling multi‑week personal travel planning."
"Danvers Public Schools","https://danverspublicschools.org","Danvers, MA","https://danverspublicschools.org/personnel/","Approx. 800 employees. Personnel pages outline employment policies and contacts; benefits info via HR. Notes emphasize academic calendar and summers supporting extended personal travel; avoids unverified travel discount claims."
"Beverly Public Schools","https://www.beverlyschools.org","Beverly, MA","https://www.beverlyschools.org/apps/pages/index.jsp?uREC_ID=3078826&type=d&pREC_ID=2351348","Approx. 1,000 employees. HR and payroll pages describe employment resources and benefits references. Notes emphasize academic breaks and PTO enabling longer personal travel windows."
"North Shore Community College","https://www.northshore.edu","Danvers/Lynn, MA","https://www.northshore.edu/hr/","Approx. 1,000 employees. HR pages outline state college benefits including PTO/holidays for eligible roles. Notes emphasize academic calendar and summers supporting multi‑week personal travel; avoids unverified discount marketplace claims."
