"LeadNum","Company","Website","Contact","HQ-Address","Industry","Size","Notes"
"MIKE-OCHQ-1A-000040","Axonics","https://www.axonics.com/","Tel: +1 (877) 929-6642 | Privacy: https://www.axonics.com/privacy-policy/ (legal@axonics.com)","15515 Sand Canyon Ave, Irvine, CA 92618","Urology Devices Importer","Public medtech with $300M+ annual revenue (per filings); imports neuromodulation devices, leads, and accessories for U.S. providers.","Neuromodulation imports involve electronics/medical device controls: accurate HTS, FDA registration/listing/UDI, and labeling compliance. EAR/ECCN review for wireless modules and encryption may apply. Enforce broker SOPs, ASN accuracy, and serial tracking to support recall readiness and drawback on returns/refurbishment. UFLPA diligence for electronics, batteries, and plastics is critical. Maintain RPS screening, supplier quality agreements, and 19 CFR 163-compliant records with KPI monitoring on CBP holds."
"MIKE-OCHQ-1A-000041","Inari Medical","https://www.inarimedical.com/","Contact: https://www.inarimedical.com/contact/ | Privacy: https://www.inarimedical.com/privacy-policy/","Irvine, CA 92618","Vascular Devices Importer","Public medtech with $400M+ annual revenue (per filings); imports thrombectomy devices and accessories supporting hospitals/ASCs.","Device imports require precise HTS for instruments/devices, COO marking where applicable, and FDA listing/UDI. EAR/ECCN generally EAR99 but verify for electronics/software. Implement broker SOPs, ASN/carton standards, and vendor QA to minimize CBP holds. UFLPA diligence for polymers/metals should be documented. Warranty/recall returns can leverage duty drawback with serialized reconciliation. Maintain restricted party screening, master data governance, and audit-ready documentation (19 CFR 163)."
"MIKE-OCHQ-1A-000042","Endologix","https://endologix.com/","Tel: +1 (800) 983-2284 | customerservice@endologix.com | Privacy: https://endologix.com/legal-information/","2 Musick, Irvine, CA 92618","Endovascular Devices Importer","Private vascular device company with meaningful U.S. imports of stent grafts and accessories; multi-channel distribution and service support.","Endovascular imports necessitate precise HTS for implants and delivery systems, valuation controls, and coordination with FDA UDI/listing and complaint systems. Implement broker SOPs, ASN accuracy, and vendor QA to cut CBP holds. UFLPA diligence for polymers/metal components and packaging is required. Returns/rework processes should support drawback with serialized tracking. Maintain RPS screening, supplier quality agreements, and 19 CFR 163 recordkeeping with periodic post-entry audits."
"MIKE-OCHQ-1A-000043","Sonendo","https://sonendo.com/","Contact/Privacy: https://sonendo.com/privacy-policy (compliance@sonendo.com)","Laguna Hills, CA 92653","Dental Devices Importer","Public dental device company (~$100M annual revenue range); imports endodontic devices and accessories for U.S. dental practices.","Imports include endodontic devices/consumables requiring accurate HTS, FDA device controls (registration/listing/UDI), and labeling compliance. Maintain EAR posture and evaluate ECCN for any software/firmware. UFLPA diligence for plastics/electronics must be in place. Implement broker SOPs, ASN/carton standards, and vendor QA to reduce CBP holds. Returns/warranty programs enable drawback with reconciliation. Maintain RPS screening, classification master data, and 19 CFR 163 audit-ready files."
"MIKE-OCHQ-1A-000044","Pro-Dex","https://www.pro-dex.com/","Contact: https://www.pro-dex.com/privacy-notice | https://www.pro-dex.com/contact","Irvine, CA 92614","Medical & Dental Tools Importer","Public small-cap OEM with tens of millions in annual revenue; imports components and finished tools for medical/dental OEM programs.","Imports require accurate HTS for powered instruments/accessories, valuation for assists/tooling, and COO controls. FDA device controls apply for finished devices; OEM components require traceability. Implement broker SOPs, ASN accuracy, and supplier QA. UFLPA diligence for electronics and metals must be documented. Returns/rework benefit from duty drawback. Maintain RPS screening, master data governance, and periodic classification audits to reduce CBP penalties and post-entry corrections."
"MIKE-OCHQ-1A-000045","Glidewell Dental","https://glidewelldental.com/","Email: mail@glidewelldental.com | Contact: https://glidewelldental.com/contact-us","4141 MacArthur Blvd, Newport Beach, CA 92660","Dental Lab & Products Importer","Large private dental lab/manufacturer importing equipment, materials, and accessories; revenue undisclosed; extensive U.S. fulfillment network.","Dental imports include lab equipment, materials (ceramics, alloys), and devices requiring accurate HTS and potential PGA coordination. Ensure valuation (assists/tooling) and COO marking controls. UFLPA diligence for metals/ceramics/packaging should be documented. Implement broker SOPs, vendor manuals, and ASN/carton standards to reduce CBP holds. Warranty/repair returns can leverage drawback with reconciliation. Maintain RPS screening, master data governance, and 19 CFR 163-compliant records."
"MIKE-OCHQ-1A-000046","QSC","https://www.qsc.com/","Tel: +1 (714) 754-6175 | Privacy: https://www.qsc.com/policy/privacy (privacy@qsc.com)","1675 MacArthur Blvd, Costa Mesa, CA 92626","Pro Audio & AV Importer","Large private pro audio/AV company importing amplifiers, DSPs, speakers, and accessories; significant North American distribution footprint.","Electronics/AV imports require EAR/ECCN and FCC compliance where RF/EMI applies. Maintain accurate HTS for loudspeakers, amplifiers, DSP, and accessories; document valuation and assists. Section 301 exposure and UFLPA diligence across PCBAs, metals, and plastics are essential. Implement CTPAT, broker SOPs, ASN accuracy, and serial tracking for returns enabling drawback. Maintain RPS screening, master data governance, and audit-ready files to minimize CBP holds and penalties."
"MIKE-OCHQ-1A-000047","iHerb","https://www.iherb.com/","Privacy/Legal: https://www.iherb.com/info/privacy | Contact: https://www.iherb.com/help/contact","17400 Laguna Canyon Rd, Suite 400, Irvine, CA 92618","Health & Wellness E‑Commerce Importer","Large private e‑commerce company importing a wide range of supplements and personal care products; revenue undisclosed; very high parcel and LTL volumes.","Imports include dietary supplements and personal care, requiring accurate HTS, FDA facility registration for applicable products, and labeling compliance (claims/ingredients). UFLPA diligence for packaging and raw material origins is critical. Implement broker SOPs, carton/ASN standards, and vendor QA to reduce CBP exams. High returns/parcel flows necessitate scalable reconciliation and potential drawback programs. Maintain RPS screening, master data governance, and robust 19 CFR 163 records."
"MIKE-OCHQ-1A-000048","ViewSonic Americas","https://www.viewsonic.com/us/","Tel: +1 (909) 444-8888 | Locations: https://www.viewsonic.com/us/locations","10 Pointe Dr, Brea, CA 92821","Displays & Electronics Importer","Large private electronics brand importing monitors, projectors, and accessories; extensive retail/education channels across the U.S.","Electronics imports require EAR/ECCN and FCC compliance. Maintain accurate HTS for display devices, projectors, and accessories; ensure valuation and assists are documented. Section 301 and UFLPA diligence for PCBAs, panels, and plastics are essential. Implement CTPAT, broker SOPs, ASN accuracy, and serial tracking for returns/refurb enabling drawback. Maintain RPS screening, master data governance, and KPI reviews on CBP holds and post-summary corrections."
"MIKE-OCHQ-1A-000049","SUPER73","https://super73.com/","Tel: +1 (949) 649-4607 | Privacy: https://super73.com/pages/privacy-policy (customercare@super73.com)","2963 Michelson Dr, Suite A, Irvine, CA 92612","E‑Bike Importer","Private micromobility brand importing e‑bikes and parts; rapid growth with retail and DTC channels; revenue undisclosed.","E‑bike imports involve electronics and batteries, requiring EAR/ECCN reviews and DOT/UN 38.3 lithium battery transport compliance. Accurate HTS for complete bikes/parts and FCC for RF components (if present) are necessary. UFLPA diligence for electronics/metals is critical. Implement broker SOPs, ASN/serial tracking, and vendor QA to reduce CBP holds. Returns/refurbishment should leverage drawback with reconciliation. Maintain RPS screening and 19 CFR 163 records with periodic post-entry audits."
"MIKE-OCHQ-1A-000050","VeSync (Levoit/Cosori/Etekcity)","https://www.vesync.com/","Address: 1202 N Miller St, Suite A, Anaheim, CA 92806 | Privacy: https://www.vesync.com/eea-privacy-policy | Contact: https://www.vesync.com/contact","1202 N Miller St, Suite A, Anaheim, CA 92806","Small Appliances & Smart Home Importer","Public parent entity with substantial global revenue; U.S. unit imports air purifiers, kitchen appliances, and smart home devices across multiple brands.","Appliance/electronics imports require EAR/ECCN and FCC compliance. Maintain accurate HTS for appliances, filters, and accessories; ensure valuation and assists are documented. Section 301 management and UFLPA diligence for PCBAs, motors, and plastics are essential. Implement CTPAT, broker SOPs, ASN accuracy, and serial tracking for returns/refurb enabling drawback. Maintain RPS screening, master data governance, and audit-ready documentation to reduce CBP risk."
"MIKE-OCHQ-1A-000051","St. John Knits","https://stjohnknits.com/","Tel: +1 (877) 750-1171 | Legal: https://stjohnknits.com/policies/terms-of-service (legaldept@sjk.com)","5515 E La Palma Ave, Suite 100, Anaheim, CA 92807","Luxury Apparel Importer","Private luxury apparel brand importing knitwear and accessories; revenue undisclosed; specialty boutiques and DTC channels.","Apparel imports require precise HTS by garment type/fiber content, COO marking, and care/label compliance to avoid CBP penalties. Section 301 exposure for PRC-origin textiles should be mitigated; implement UFLPA diligence for cotton and trims with supplier attestations. Enforce broker SOPs, vendor manuals, and carton/UPC standards to lower hold rates. Returns and alterations can support drawback with reconciliation. Maintain RPS screening and 19 CFR 163 records with periodic classification audits."
"MIKE-OCHQ-1A-000052","G&L Musical Instruments","https://www.glguitars.com/","Factory: https://www.glguitars.com/contact-us/ | Address: 2548 Fender Ave, Fullerton, CA 92831","2548 Fender Ave, Fullerton, CA 92831","Musical Instruments Importer","Small manufacturer/importer distributing guitars/basses and parts; revenue undisclosed; specialty dealer network and DTC.","Instrument imports require accurate HTS for instruments/parts/cases and may trigger CITES/Lacey Act for certain woods. Ensure COO marking and packaging/label compliance. Implement vendor QC to avoid marking violations. UFLPA diligence for electronics/wiring and wood sourcing transparency is key. Broker SOPs, ASN/carton standards, and master data governance reduce CBP holds. Warranty/repair returns can leverage drawback when reconciled; maintain RPS screening and audit-ready documentation."
"MIKE-OCHQ-1A-000053","Suzuki Motor USA","https://suzuki.com/","Contact: https://cycles.aws-prod.suzuki.com/resources/contact-us | Careers/About: https://cms.suzuki.com/CareersPage/About%20Us.aspx","Brea, CA 92821","Automotive & Powersports Importer","U.S. subsidiary of Suzuki importing motorcycles/ATVs/marine products; large national dealer network; parent multi‑billion USD revenue.","Vehicle and parts imports require precise HTS, valuation (assists/tooling), and COO marking. Manage EPA/CARB, DOT/NHTSA requirements for vehicles and select parts. Section 301 exposure for components demands duty strategy. Implement CTPAT, broker SOPs, and master data governance. Warranty/recall returns allow duty drawback with serialized reconciliation. UFLPA diligence for electronics/wiring and metals is critical. Maintain RPS screening and 19 CFR 163-compliant records with KPI reviews of broker performance."
"MIKE-OCHQ-1A-000054","Yamaha Motor USA","https://www.yamahamotorsports.com/","Contact: https://www.yamahamotorsports.com/motorsports/pages/contact-us | Corporate: https://global.yamaha-motor.com/","Cypress, CA 90630","Motorcycles & Marine Importer","U.S. subsidiary of Yamaha Motor Co. importing motorcycles, powersports, and marine products; large national dealer network; parent multi‑billion USD revenue.","Vehicle and parts imports require accurate HTS, valuation and COO controls, plus DOT/NHTSA and EPA/CARB compliance where applicable. Section 301 exposure for select components requires mitigation. Implement CTPAT, robust broker SOPs, ASN/serial tracking, and master data governance. Warranty/recall returns can leverage drawback with reconciliation. Enforce UFLPA diligence across electronics/wiring and metals. Maintain RPS screening and audit-ready documentation per 19 CFR 163."
"MIKE-OCHQ-1A-000055","Beckman Coulter Diagnostics","https://www.beckmancoulter.com/","Tel: +1 (800) 526-3821 | Privacy: https://www.beckmancoulter.com/en/privacy","250 S Kraemer Blvd, Brea, CA 92821","Diagnostics Instruments Importer","Large diagnostics company (Danaher group) with multi‑billion USD global revenue; imports analyzers, consumables, and parts for U.S. labs/hospitals.","Diagnostics imports require precise HTS for instruments/reagents, valuation for bundled kits, and PGA alignment where applicable. Ensure EAR/ECCN and FCC (for networked devices) compliance. Implement broker SOPs, ASN/carton standards, and vendor QA to minimize CBP holds. UFLPA diligence for plastics/electronics is critical. Returns/repair/refurbishment enable drawback with serialized reconciliation. Maintain RPS screening, classification master data, and 19 CFR 163 records with periodic post-entry audits."
"MIKE-OCHQ-1A-000056","Nihon Kohden America","https://us.nihonkohden.com/","Tel: +1 (800) 325-0283 | Privacy: https://us.nihonkohden.com/privacy-policy/","15353 Barranca Pkwy, Irvine, CA 92618","Medical Devices Importer","U.S. subsidiary of Nihon Kohden (parent multi‑billion USD revenue); imports patient monitoring and diagnostic devices/consumables.","Imports include monitors, electrodes, sensors, and accessories requiring accurate HTS, FDA registration/listing/UDI, and labeling compliance. EAR/ECCN reviews for wired/wireless modules and software may apply. Implement broker SOPs, ASN/carton standards, and vendor QA to reduce CBP holds. UFLPA diligence for electronics/wiring and plastics must be documented. Returns/service exchanges should enable drawback with serialized reconciliation. Maintain RPS screening, master data governance, and 19 CFR 163 records."
"MIKE-OCHQ-1A-000057","FUJIFILM Irvine Scientific","https://www.irvinesci.com/","Tel: +1 (800) 577-6097 | Privacy: https://www.irvinesci.com/privacy-policy","2511 Daimler St, Santa Ana, CA 92705","Biotech Media & Reagents Importer","Subsidiary of FUJIFILM (parent multi‑billion USD revenue); imports cell culture media, reagents, and components supporting biotech and medical labs.","Biotech imports involve reagents/chemicals requiring accurate HTS, potential PGA considerations, and labeling/packaging compliance. Ensure valuation controls and COO marking where applicable. Implement broker SOPs, cold-chain and hazmat handling standards, and ASN accuracy to reduce CBP holds. UFLPA diligence for plastics and packaging is needed. Returns/disposals must be documented; drawback limited to eligible flows. Maintain RPS screening and 19 CFR 163 audit-ready documentation with periodic classification reviews."
"MIKE-OCHQ-1A-000058","Epson America","https://epson.com/","Tel: +1 (562) 276-4303 | Privacy: https://epson.com/privacy-policy","3131 Katella Ave, Los Alamitos, CA 90720","Printers & Imaging Importer","U.S. subsidiary of Seiko Epson (parent ~$9B+ global revenue); imports printers, projectors, scanners, and supplies for U.S. markets.","Electronics imports require EAR/ECCN and FCC compliance. Maintain accurate HTS for printers, projectors, inks, and accessories; ensure valuation/assists are documented. Section 301 exposure and UFLPA diligence for PCBAs, printheads, and plastics are essential. Implement CTPAT, broker SOPs, ASN/serial tracking, and vendor QA to reduce CBP holds. Returns/DOA/refurb flows can support drawback with reconciliation. Maintain RPS screening, master data governance, and post-entry audits."
"MIKE-OCHQ-1A-000059","Toshiba America Business Solutions","https://business.toshiba.com/","Tel: +1 (949) 462-6000 | Privacy: https://business.toshiba.com/privacy-policy","25530 Commercentre Dr, Lake Forest, CA 92630","Office Equipment Importer","U.S. subsidiary of Toshiba TEC (parent multi‑billion USD revenue); imports MFPs, printers, and parts with national dealer distribution.","Imports require accurate HTS for MFPs/printers/parts, valuation controls, and FCC compliance for networked devices. Manage Section 301 exposure and UFLPA diligence across electronics supply chains. Implement CTPAT, broker SOPs, ASN accuracy, and serial tracking for warranty/refurb flows enabling drawback. Maintain RPS screening, master data governance, and KPI tracking of broker errors, CBP holds, and PSCs to minimize penalties and reconciliation issues."
"MIKE-OCHQ-1A-000060","Urban Decay Cosmetics","https://www.urbandecay.com/","Contact: https://www.urbandecay.com/customer-service-contact-us | Privacy: https://www.urbandecay.com/customer-service-privacy-policy","Newport Beach, CA 92660","Cosmetics Importer","Brand of L’Oréal (parent multi‑billion USD revenue); imports cosmetics, packaging, and promotional materials for U.S. channels; U.S. unit revenue undisclosed.","Cosmetics imports require accurate HTS, FDA cosmetic labeling compliance, and COO marking. UFLPA diligence for packaging/raw materials must be documented. Implement vendor manuals, carton/UPC standards, and broker SOPs to reduce CBP exams. Returns and seasonal sets should be reconciled tightly; drawback may apply for eligible flows. Maintain RPS screening of suppliers, master data governance, and 19 CFR 163 audit-ready records."
"MIKE-OCHQ-1A-000061","Too Faced Cosmetics","https://www.toofaced.com/","Contact: https://help.toofaced.com/hc/en-us/requests/new | Privacy: https://www.toofaced.com/pages/privacy-policy","Irvine, CA 92614","Cosmetics Importer","Estée Lauder brand (parent multi‑billion USD revenue); imports cosmetics and gift sets; U.S. unit revenue undisclosed.","Cosmetics/personal care imports require accurate HTS and labeling compliance (ingredients/claims), COO marking, and robust vendor QC to avoid CBP penalties. UFLPA diligence for packaging and raw materials is essential. Implement broker SOPs, ASN/carton standards, and returns controls to reduce exams. Seasonal promos create volume spikes—plan for advance filings and drawback eligibility. Maintain RPS screening, master data governance, and audit-ready documentation."
"MIKE-OCHQ-1A-000062","TravisMathew","https://www.travismathew.com/","Tel: +1 (714) 782-1010 | Privacy: https://www.travismathew.com/privacy-policy.html","15202 Graham St, Huntington Beach, CA 92649","Golf Apparel Importer","Callaway-owned brand with strong U.S. presence; imports apparel/accessories; revenue undisclosed; wholesale and DTC channels.","Apparel imports require precise HTS by fiber content/garment type, COO marking, and care/label compliance. Manage Section 301 exposure and build UFLPA traceability for cotton/trims. Implement vendor manuals, carton/UPC standards, and broker SOPs to reduce CBP holds. Returns/RTVs enable drawback when reconciled. Maintain RPS screening for vendors/partners, classification master data, and periodic audits to sustain compliance quality and lower landed cost."
"MIKE-OCHQ-1A-000063","Roark","https://roark.com/","Contact: https://roark.com/pages/contact | Privacy: https://roark.com/policies/privacy-policy","Costa Mesa, CA 92627","Apparel & Travel Goods Importer","Adventure lifestyle brand importing apparel, bags, and accessories; revenue undisclosed; wholesale and DTC.","Apparel/travel goods imports require accurate HTS (Ch. 42, 61/62), COO marking, and labeling compliance. Section 301 exposure for PRC-origin items requires mitigation. Establish UFLPA diligence for cotton and trims. Vendor manuals, carton standards, and pre-shipment inspections reduce CBP holds. Returns and warranty handling can enable drawback; ensure robust reconciliation and 19 CFR 163 records. Maintain RPS screening and classification master data governance."
"MIKE-OCHQ-1A-000064","Rainbow Sandals","https://www.rainbowsandals.com/","Tel: +1 (949) 492-4930 | Privacy: https://www.rainbowsandals.com/pages/privacy-policy","326 Calle de Los Molinos, San Clemente, CA 92672","Footwear Importer","Small footwear brand importing sandals and accessories; revenue undisclosed; strong specialty retail/DTC presence.","Footwear classification depends on outer sole/upper materials; ensure accurate HTS and COO marking to avoid penalties. Manage Section 301 exposure and develop UFLPA traceability for textiles/leathers. Implement vendor QC, carton/label standards, and broker SOPs to cut CBP holds. Seasonal demand requires capacity planning for filings and potential drawback on returns. Maintain RPS screening, master data governance, and audit-ready documentation."
"MIKE-OCHQ-1A-000065","RED Digital Cinema","https://www.red.com/","Tel: +1 (949) 206-7900 | Privacy: https://www.red.com/privacy-policy","Irvine, CA 92618","Cine Cameras & Accessories Importer","High-end cinema camera brand (now part of Nikon) importing cameras, lenses, and accessories; revenue undisclosed; global pro channel.","Electronics/optics imports require EAR/ECCN and FCC compliance; optics need precise HTS and valuation for bundled kits. Implement CTPAT, broker SOPs, ASN/serial tracking, and vendor QA to reduce CBP holds. UFLPA diligence for PCBAs, batteries, and plastics is essential. Returns/service/refurb flows should leverage drawback with reconciliation. Maintain RPS screening, master data governance, and periodic post-entry audits to minimize penalties."
"MIKE-OCHQ-1A-000066","Kawasaki Motors Corp., U.S.A.","https://www.kawasaki.com/","Tel: +1 (949) 770-0400 | Privacy: https://www.kawasaki.com/en-us/privacy-policy","26972 Burbank, Foothill Ranch, CA 92610","Motorcycles, ATVs & Marine Importer","U.S. subsidiary of Kawasaki (parent multi‑billion USD revenue); imports vehicles/parts; nationwide dealer distribution.","Vehicle and parts imports require accurate HTS, valuation controls (assists/tooling), and COO marking. EPA/CARB and DOT/NHTSA compliance for vehicles and select parts must be coordinated. Section 301 exposure requires duty strategy. Implement CTPAT, broker SOPs, ASN/serial tracking, and master data governance. Warranty/recall returns enable drawback with serialized reconciliation. Maintain UFLPA diligence for electronics/metals and 19 CFR 163 records."
"MIKE-OCHQ-1A-000067","Dainese USA","https://www.dainese.com/us/en/","Tel: +1 (949) 625-0419 | Privacy: https://www.dainese.com/us/en/legal-area/privacy-policy.html","1645 Superior Ave, Costa Mesa, CA 92627","Motorcycle Apparel & Gear Importer","U.S. division of Dainese (parent multi‑hundred‑million EUR revenue); imports protective apparel/gear; dealer and DTC channels.","Protective apparel requires accurate HTS, labeling/marking, and may intersect with safety standards. Manage Section 301 exposure and build UFLPA diligence for textiles/leathers. Implement vendor manuals, carton standards, and broker SOPs to reduce CBP holds. Returns/warranty handling can support drawback with reconciliation. Maintain RPS screening, master data governance, and audit-ready documentation to minimize penalties."
"MIKE-OCHQ-1A-000068","Zyxel Communications (USA)","https://www.zyxel.com/us/en","Tel: +1 (714) 632-0882 | Privacy: https://www.zyxel.com/global/en/privacy-policy","1130 N Miller St, Anaheim, CA 92806","Networking Hardware Importer","U.S. arm of Zyxel (parent multi‑hundred‑million USD revenue); imports routers/switches/security gateways; SMB and ISP channels.","Electronics imports require EAR/ECCN and FCC compliance; maintain accurate HTS for radios, antennas, and accessories. Section 301 management and UFLPA diligence across electronics supply chains are essential. Implement CTPAT, broker SOPs, ASN accuracy, and serial tracking for returns/refurb enabling drawback. Maintain RPS screening, product-level ECCN/HTS master data, and post-entry audits to lower CBP risk."
"MIKE-OCHQ-1A-000069","Urban Armor Gear (UAG)","https://www.urbanarmorgear.com/","Contact: https://support.urbanarmorgear.com/hc/en-us/requests/new | Privacy: https://www.urbanarmorgear.com/pages/privacy-policy","IRVINE, CA 92614","Device Cases & Accessories Importer","Private accessories brand importing protective cases and mobile accessories; revenue undisclosed; strong e‑commerce presence.","Accessories imports require accurate HTS for cases/accessories, COO marking, and labeling/packaging compliance. Section 301 exposure and UFLPA diligence for plastics and electronics (where applicable) must be documented. Implement vendor QC, carton/UPC standards, and broker SOPs to reduce CBP holds. High parcel returns allow potential drawback with tight reconciliation. Maintain RPS screening, master data governance, and 19 CFR 163 records."
"MIKE-OCHQ-1A-000070","Incipio Group","https://www.incipio.com/","Contact: https://support.incipio.com/hc/en-us/requests/new | Privacy: https://www.incipio.com/pages/privacy-policy","Irvine, CA 92614","Device Cases & Accessories Importer","Private accessories portfolio (Incipio, Griffin, etc.) importing device cases and mobile accessories; revenue undisclosed; retail and DTC.","Electronics accessories imports require accurate HTS, COO marking, and packaging/label compliance. Section 301 exposure and UFLPA diligence for plastics and components should be documented. Implement vendor manuals, carton standards, and broker SOPs to reduce CBP exams. Returns/RTVs enable drawback with reconciliation. Maintain RPS screening, master data governance, and audit-ready documentation per 19 CFR 163 with KPI monitoring on broker errors and CBP holds."
"MIKE-OCHQ-1A-000071","Mazda North American Operations","https://www.mazdausa.com/","Tel: +1 (800) 222-5500 | Privacy: https://www.mazdausa.com/site/privacy","200 Spectrum Center Dr, Irvine, CA 92618","Automotive Importer","U.S. arm of Mazda Motor Corp (parent multi‑billion USD revenue); large-scale vehicle and parts imports into multiple U.S. ports and PDCs.","Vehicle and parts imports demand exact HTS classification, valuation (assists/tooling), and COO marking, plus KORUS/other FTA eligibility for select parts. Coordinate EPA/CARB and NHTSA/FMVSS certifications. Implement restricted party screening for dealers/partners, CTPAT, and broker SOPs with KPI tracking. Section 301 exposure on certain components requires mitigation and tariff engineering. Warranty/recall returns can leverage duty drawback with serialized reconciliation and audit-ready files."
"MIKE-OCHQ-1A-000072","Genesis Motor America","https://www.genesis.com/us/en","Tel: +1 (844) 340-9741 | Privacy: https://www.genesis.com/us/en/privacy","10550 Talbert Ave, Fountain Valley, CA 92708","Automotive Importer","Luxury brand under HMG; U.S. operations import vehicles and accessories; revenue consolidated under parent multi‑billion USD.","Luxury vehicle imports require precise HTS, COO marking, and valuation controls, plus EPA/CARB and NHTSA/FMVSS compliance. Manage Section 301 exposure for select components. Implement robust broker SOPs, KPI dashboards, and CTPAT. Maintain RPS screening for dealers and logistics partners. Returns/recall handling and parts RTVs should integrate drawback with serialized tracking. Keep 19 CFR 163 records and periodic post-entry audits to reduce CBP penalties."
"MIKE-OCHQ-1A-000073","Rivian","https://rivian.com/","Privacy: https://rivian.com/legal/privacy (privacy@rivian.com) | Tel (Support): +1 (888) 748-4265","14600 Myford Rd, Irvine, CA 92606","EV Manufacturer & Importer","Public EV company (multi‑billion USD revenue per filings) with HQ in Irvine; imports select components, accessories, and service parts for U.S. distribution.","EV supply chains involve electronics/batteries requiring EAR/ECCN and DOT/UN 38.3 compliance. Ensure accurate HTS for parts/accessories and FCC for RF components. Manage Section 301 exposure and UFLPA diligence across PCBAs, wiring, and battery materials. Implement CTPAT, broker SOPs, ASN/serial tracking for returns/refurb enabling drawback. Maintain RPS screening for service providers and rigorous 19 CFR 163 recordkeeping with KPI monitoring on CBP holds and PSCs."
"MIKE-OCHQ-1A-000074","Golden State Foods","https://www.gsf.com/","Tel: +1 (949) 252-2000 | Privacy: https://www.gsf.com/privacy-policy","18301 Von Karman Ave, Irvine, CA 92612","Foodservice Supply Importer","Large private foodservice supplier (multi‑billion USD scale) importing ingredients, packaging, and equipment into U.S. DCs for QSR customers.","Food imports require precise HTS, FDA/USDA coordination, and labeling/packaging compliance. Cold-chain and HACCP controls must align with import processes. UFLPA diligence for packaging and certain ingredients is required. Implement broker SOPs, carton/ASN standards, and supplier QA to reduce CBP holds. Returns/disposals must be tracked; drawback applies only where eligible. Maintain RPS screening of suppliers/logistics partners and robust 19 CFR 163 documentation."
"MIKE-OCHQ-1A-000075","Northgate González Market","https://www.northgatemarket.com/","Contact: https://www.northgatemarket.com/contact-us | Privacy: https://www.northgatemarket.com/privacy-policy","1201 N Magnolia Ave, Anaheim, CA 92801","Grocery Importer/Distributor","Private Hispanic grocery chain with OC HQ; imports specialty foods, produce, and beverages; revenue undisclosed; regional DC network.","Grocery imports require accurate HTS across food categories, FDA prior notice where applicable, USDA for meats/produce, and labeling compliance (allergens/nutrition). Implement vendor QA, cold-chain standards, and broker SOPs to reduce CBP holds. UFLPA diligence for packaging/ingredients must be documented. Manage returns/disposals with auditable reconciliation; drawback is limited. Maintain RPS screening for suppliers and 19 CFR 163-compliant documentation with broker KPI tracking."
"MIKE-OCHQ-1A-000076","Stüssy","https://www.stussy.com/","Contact: https://www.stussy.com/pages/contact | Privacy: https://www.stussy.com/pages/privacy-policy","Irvine, CA 92614","Apparel Importer","Private streetwear brand importing apparel and accessories; revenue undisclosed; boutique wholesale and global DTC footprint.","Frequent seasonal drops and collabs increase classification and COO complexity. Priorities: accurate HTS by fiber and construction, care/label compliance, and pack/mark standards to avoid CBP penalties. Manage Section 301 exposure and build UFLPA traceability for cotton/trims. Implement broker SOPs, ASN/carton accuracy, and vendor QC to lower hold rates. Returns/RTVs can support drawback when reconciled. Maintain RPS screening and audit-ready documentation per 19 CFR 163."
"MIKE-OCHQ-1A-000077","L*Space","https://www.lspace.com/","Contact: https://www.lspace.com/pages/contact | Privacy: https://www.lspace.com/policies/privacy-policy (customerservice@lspace.com)","Costa Mesa, CA 92626","Swimwear Importer","Private swimwear brand importing swim/apparel and accessories; revenue undisclosed; specialty retail and DTC channels.","Swimwear imports require accurate HTS by fiber content and construction, COO marking, and care/label compliance. Manage Section 301 exposure and UFLPA diligence for textiles/elastics. Implement vendor manuals, carton/UPC standards, and pre-shipment inspections to reduce CBP holds. Seasonal demand spikes require capacity planning and broker KPIs. Returns/RTVs may enable drawback with thorough reconciliation. Maintain RPS screening and classification master data."
"MIKE-OCHQ-1A-000078","Vissla (Stokehouse USA)","https://www.vissla.com/","Contact: https://www.vissla.com/pages/contact | Privacy: https://www.vissla.com/pages/privacy-policy","4B Liberty, Aliso Viejo, CA 92656","Apparel & Surf Gear Importer","Stokehouse portfolio brand importing apparel, wetsuits, and accessories; revenue undisclosed; wholesale and DTC.","Wetsuits and surf gear require careful HTS (rubber/neoprene vs textile). Apparel classifications rely on fiber content and construction; COO marking must be controlled. Implement UFLPA diligence for cotton/trims, vendor manuals, and carton/label standards to cut CBP holds. Manage Section 301 exposure and consider tariff engineering. Returns/warranty handling should tie to drawback with reconciliation. Maintain broker SOPs, master data governance, and periodic classification audits."
"MIKE-OCHQ-1A-000079","5.11 Tactical","https://www.511tactical.com/","Tel: +1 (866) 451-1726 | Privacy: https://www.511tactical.com/privacy-policy (privacy@511tactical.com)","4300 North Harbor Blvd, Suite 200, Fullerton, CA 92835","Tactical Apparel & Gear Importer","Brand owned by Compass Diversified; imports apparel, packs, and gear; revenue undisclosed; retail and government channels.","Protective/tactical apparel requires accurate HTS, labeling/marking, and potential Berry compliance considerations for specific contracts. Manage Section 301 exposure and build UFLPA diligence for textiles and trims. Implement vendor manuals, carton/UPC standards, and broker SOPs to reduce CBP holds. Returns/RTVs can support drawback when reconciled. Maintain RPS screening for dealers/partners and 19 CFR 163-compliant documentation with broker KPI tracking."
