"CNUM","Company","Parent/Owner","Strategy","Primary Markets","Homes Owned/Managed (approx.)","Website","Source URL","Description","Contact Phone","Difficulty & Openness (1-5)","Notes"
"CNUM-SFRBUY-AUG25-70","Open Path Realty Investors (CA SFR buyers)","Independent investor group","Acquires SFR for hold/resale in SoCal deserts","Inland Empire, Coachella Valley incl. Desert Hot Springs","Active boutique buyer network","https://openpathinvestors.com/","https://openpathinvestors.com/contact","Boutique buyer group focused on SoCal desert submarkets; engages directly with sellers and brokers.","N/A","2 – Boutique; direct access to principals","Fits Desert Hot Springs specifically, with familiarity of local rent and rehab dynamics. Team can commit quickly on well-priced inventory; contact to acquisitions via web form or email."
"CNUM-SFRBUY-AUG25-71","Sundae","Marketplace for distressed SFR","Buys or assigns homes via investor marketplace","Active in CA (incl. IE/Coachella Valley), TX, AZ, FL","High deal volume across covered metros","https://sundae.com/","https://sundae.com/sell-house/","Platform that underwrites as-is homes and exposes them to a network of investor buyers; also makes direct offers in select cases.","N/A (contact via website)","2 – Easy web intake; fast responses","Sundae is useful for SoCal desert submarkets near Desert Hot Springs and major Texas metros. Their acquisitions team provides quick guidance on price expectations and timing, and intake is streamlined through the website with transparent next steps."
"CNUM-SFRBUY-AUG25-72","Express Homebuyers","National cash homebuyer","Purchases homes directly; resells post-renovation","Nationwide coverage incl. PA, TX, AR, NE","Thousands of transactions historically","https://www.expresshomebuyers.com/","https://www.expresshomebuyers.com/contact/","Consumer-facing cash buyer offering rapid closings; evaluates a wide range of property conditions and seller timelines.","N/A (contact via website)","2 – Very accessible; phone/web intake","They provide quick preliminary offers and clear closing timelines. Particularly helpful in Pennsylvania and Texas suburbs, and willing to review occupied or dated-condition properties if pricing reflects scope."
"CNUM-SFRBUY-AUG25-73","MarketPro Homebuyers","Mid-Atlantic homebuyer","Buys homes as-is for resale or investor disposition","Mid-Atlantic incl. PA; expanding to select states","High annual transaction cadence","https://www.marketprohomebuyers.com/","https://www.marketprohomebuyers.com/contact/","Regional buyer with strong presence around PA/MD/DC; streamlined seller experience and renovation-driven resale model.","N/A","2 – Regional; responsive acquisitions team","Strong fit for Pennsylvania suburbs with dated or inherited properties. They move quickly, provide clear net proceeds, and coordinate flexible occupancies to ease seller transitions."
"CNUM-SFRBUY-AUG25-74","KeyGlee","Wholesale investment network","Acquires/assigns SFR projects to investor buyers","Nationwide presence incl. TX, AZ, FL, PA","Very high assignment volume via branches","https://www.keyglee.com/","https://www.keyglee.com/contact","Wholesale platform sourcing off-market SFR and assigning to a large buyer network; multiple local franchises/offices.","N/A (local office lines)","2 – Deal-focused; approachable analysts","Teams are accessible and responsive to submissions, especially for assignable contracts in Texas metros and Pennsylvania markets. Platform provides quick pricing feedback and broad investor reach."
"CNUM-SFRBUY-AUG25-75","Mid South Home Buyers","Turnkey SFR operator","Buys/renovates SFR for turnkey investors","Memphis, TN and Little Rock, AR","Thousands sold to investors historically","https://www.midsouthhomebuyers.com/","https://www.midsouthhomebuyers.com/contact/","Well-known turnkey provider purchasing value-add SFR and selling to out-of-state investors with in-house management.","(901) 217-4663","2 – Boutique; open to inventory","Useful for Arkansas assets near Little Rock and Memphis corridor. Acquisitions team evaluates rent-ready or light value-add homes and can issue quick offers contingent on inspection and rent targets."
"CNUM-SFRBUY-AUG25-76","208 Home Buyers","Local ID buyer","Purchases SFR for cash; closes as-is","Boise/Treasure Valley, ID","Active local transaction flow","https://208homebuyers.com/","https://208homebuyers.com/get-cash-offer.html","Boise-based cash home buyer providing guaranteed all-cash offers with flexible timelines; buys houses in any condition across the Treasure Valley.","(208) 505-8720","2 – Local; easy web/phone intake","Strong fit for scattered-site Idaho homes, including dated or occupied properties needing coordination. Their site outlines a simple 3-step process, proof-of-funds when requested, and rapid pricing feedback tailored to Boise and neighboring towns."
"CNUM-SFRBUY-AUG25-77","Action Home Buyers (Boise Home Buyers)","Local ID buyer","Buys houses for cash; renovates/resells","Boise metro and surrounding ID cities","Established Boise operator","https://webuyboisehomes.com/","https://webuyboisehomes.com/contact/","Local Boise homebuyer offering cash purchases and quick closes with transparent process and privacy policy.","(208) 866-7020","2 – Local; responsive team","Useful for scattered-site Boise SFR and nearby suburbs. Team provides straightforward offers, flexible occupancy/closing dates, and communicates repair expectations clearly to keep timelines predictable for sellers."
"CNUM-SFRBUY-AUG25-78","Omaha Homes For Cash","Local NE buyer","Buys SFR as-is for cash; resells or holds","Omaha, NE and nearby","Active local acquisitions","https://www.omahahomesforcash.com/","https://www.omahahomesforcash.com/","Local Omaha buyer advertising fast cash offers, no realtor fees, and seller-selected closing dates; focuses on as-is homes in working neighborhoods.","N/A","2 – Local; direct web intake","Well-suited for scattered-site Omaha houses and small packages. Offers emphasize certainty of close and simple contracts, with flexible occupancy for sellers and rent-ready targets for investor disposition."
"CNUM-SFRBUY-AUG25-79","Southern Hills Home Buyers","Local TX buyer","Purchases houses for cash; renovates/resells","Dallas–Fort Worth, TX","Active DFW acquisitions","https://www.southernhillshomebuyers.com/","https://www.southernhillshomebuyers.com/contact/","DFW-based cash home buyer acquiring as-is houses with quick offer process and flexible closing dates.","N/A","2 – Local; approachable acquisitions","Good match for scattered-site SFR across DFW suburbs. Team provides clear buy-box guidance and swift pricing, making it useful for occupied or cosmetically dated homes where speed and certainty matter."
"CNUM-SFRBUY-AUG25-80","Brotherly Love Real Estate","Local PA buyer","Buys SFR for cash; holds/resells","Philadelphia metro, PA","Active local acquisitions","https://brotherlyloveproperties.com/","https://brotherlyloveproperties.com/sell-my-house-fast-philadelphia/","Philadelphia-based local homebuyer offering quick cash offers and simple contracts; strong neighborhood familiarity.","N/A","2 – Local; responsive via web","Targeted to scattered-site Philly rowhomes and SFR. They coordinate repairs/inspection timing, offer flexible closings, and provide transparent pricing aligned with area comps, making outreach efficient for urgent dispositions."
"CNUM-SFRBUY-AUG25-81","American Home Buyer (Houston)","Local TX buyer","Buys SFR for cash; as-is closings","Houston metro, TX","Long-running local operator","https://www.americanhomebuyer.us/","https://www.americanhomebuyer.us/contact-us/","Houston-based cash homebuyer purchasing houses in any condition with straightforward process and dependable closings.","(713) 255-9850","2 – Local; easy to contact","Ideal for scattered-site Houston houses, including flood-impacted or dated homes. They provide quick preliminary offers, flexible seller move-out timelines, and experienced coordination to keep transactions on schedule."
"CNUM-SFRBUY-AUG25-82","Coachella Valley Home Buyers","Local CA desert buyer","Buys SFR for hold/flip; investor network","Coachella Valley incl. Desert Hot Springs","Active in local submarkets","https://www.coachellavalleyhomebuyers.com/","https://www.coachellavalleyhomebuyers.com/contact/","Local acquisitions team targeting SoCal desert submarkets; fast offers and flexible seller timelines.","N/A","2 – Local; direct-to-acquisitions","Specifically suited for Desert Hot Springs. Team understands local rents and rehab pricing, enabling realistic offers and dependable closings within tight windows."
"CNUM-SFRBUY-AUG25-83","Pittsburgh Cash Home Buyers","Local PA buyer","Buys SFR as-is; resells or holds rentals","Pittsburgh metro, PA","Steady local acquisitions","https://www.pittsburghcashhomebuyers.com/","https://www.pittsburghcashhomebuyers.com/contact/","Local buyer focused on Western PA SFR; quick preliminary offers and flexible closing schedules.","N/A","2 – Local; approachable team","Fit for Allegheny County suburbs and working-class neighborhoods. Acquisitions team communicates expected capex clearly and can transact on small packages with straightforward diligence."
"CNUM-SFRBUY-AUG25-84","Property Buyers AR (Little Rock Home Buyers)","Local AR buyer","Buys SFR for cash; renovates/resells","Little Rock, AR and surrounds","Active local acquisitions","https://propertybuyersar.com/","https://propertybuyersar.com/contact-us/","Little Rock-based cash buyer providing tailored options for sellers, quick offers, and streamlined closings.","N/A","2 – Local; approachable via web","Good for scattered-site Little Rock SFR. Team communicates repair expectations, can accommodate flexible occupancy, and aims for predictable timelines that suit sellers needing speed and certainty of close."
"CNUM-SFRBUY-AUG25-85","Cash Offer Omaha","Local NE buyer","Buys SFR for cash; flip/hold","Omaha metro, NE","Active neighborhood presence","https://www.cashofferomaha.com/","https://www.cashofferomaha.com/","Local Omaha buyer purchasing houses as-is with simple contracts and fast closings; emphasizes seller convenience.","N/A","2 – Local; direct web intake","Useful for scattered-site Omaha properties and small packages. Provides quick pricing, flexible closing dates, and straightforward coordination to keep deals on track for time-sensitive sales."
"CNUM-SFRBUY-AUG25-86","Invitation Homes","Public SFR REIT","Acquires scattered-site SFR for long-term rental","Sun Belt focus incl. major TX metros","80k+ homes nationally","https://www.invitationhomes.com/","https://www.invitationhomes.com/contact-us/","Largest U.S. SFR operator purchasing and operating rentals at scale across Sun Belt markets.","(844) 942-7368","3 – Institutional; intake via corporate channels","Strong presence in Texas metros with disciplined buy-box criteria on year built, price, and school zones. Acquisitions paths include brokered packages and direct submissions to corporate teams; expect formal underwriting and timeline predictability once engaged."
"CNUM-SFRBUY-AUG25-87","Progress Residential (Pretium)","Institutional SFR operator","Acquires SFR for long-term rental portfolios","Sun Belt incl. TX; select additional markets","~90k managed/owned across platform","https://www.rentprogress.com/","https://www.rentprogress.com/partners","Institutional SFR platform with active acquisitions and partner programs in core markets.","N/A","3 – Institutional; programmatic intake","Operates in major Texas metros and evaluates stabilized and near-stabilized inventory meeting buy-box standards. Submissions typically flow via partner portals or broker relationships with clear diligence checklists and pricing frameworks."
"CNUM-SFRBUY-AUG25-88","Main Street Renewal (Amherst)","Institutional SFR platform","Acquires SFR for long-term rental operations","Texas metros; multiple Sun Belt cities","Large national footprint via Amherst","https://www.mainstreetrenewal.com/","https://www.mainstreetrenewal.com/contact","Amherst-owned SFR operating platform with ongoing acquisitions in targeted neighborhoods.","N/A","3 – Institutional; responsive when in buy-mode","Active across Dallas, Austin, Houston, and San Antonio in cycles. Intake is structured and criteria-driven; direct submissions considered when aligned with pricing, vintage, and condition guidelines for rapid scaling."
"CNUM-SFRBUY-AUG25-89","Tricon Residential","Public SFR operator","Buys and operates single-family rentals","Sun Belt incl. TX; select CA markets","Large stabilized SFR portfolio","https://www.triconresidential.com/","https://www.triconresidential.com/contact","Institutional SFR owner-operator with disciplined acquisitions through corporate and broker channels.","N/A","3 – Institutional; selective buy-box","Focus on quality assets in growth corridors. In Texas, Tricon coordinates with brokers/sellers on stabilized product and small portfolios; expect formal LOIs and schedule-driven diligence once price consensus is reached."
"CNUM-SFRBUY-AUG25-90","Divvy Homes","Rent-to-own program buyer","Purchases homes for tenants in program","Active in TX and PA metros","Thousands of homes purchased","https://www.divvyhomes.com/","https://www.divvyhomes.com/contact","Consumer rent-to-own platform that buys on behalf of approved residents; predictable program and quick closes when criteria met.","N/A","3 – Program-led; accessible via application","Useful path to sale in Texas and Pennsylvania when a qualified resident is matched. Transparent buy criteria, streamlined contract flow, and dependable closings aligned to resident move-in timelines."
"CNUM-SFRBUY-AUG25-91","Home Partners of America","Rent-to-own program","Acquires SFR for residents in qualifying areas","Active in TX metros; select PA markets","Tens of thousands of homes acquired","https://www.homepartners.com/","https://www.homepartners.com/contact","Blackstone-backed lease-purchase program that acquires homes matching resident demand in approved zones.","N/A","3 – Program intake; criteria-driven","Viable disposition route for retail-style SFR within price caps and school zone criteria. In Texas and parts of Pennsylvania, closings are predictable once resident and property approvals are in place."
"CNUM-SFRBUY-AUG25-92","Offerpad","iBuyer","Purchases homes directly; resells post-renovation","Active in AZ, TX, NV, FL; select CA markets","High transaction volume historically","https://www.offerpad.com/","https://www.offerpad.com/contact","Tech-enabled homebuyer offering cash offers with flexible closing windows and repair credit programs.","(844) 388-4539","2 – Streamlined web intake","Offerpad is active in several Texas metros and select Southern California counties. Submissions receive quick pricing indications and defined closing timelines; program eligibility dictates asset fit and speed."
"CNUM-SFRBUY-AUG25-93","Second Avenue","SFR operator/investor","Acquires SFR for rental portfolios","Multiple markets incl. Pittsburgh, PA and TX","Thousands of homes across platform","https://www.secondavenue.com/","https://www.secondavenue.com/contact/","Institutional SFR investor/operator with acquisitions teams in target metros; engages on stabilized and light value-add deals.","N/A","3 – Institutional-lite; approachable via form","Particularly relevant in Western Pennsylvania and Texas. Teams respond to brokered and direct packages with clear guidance on rent thresholds, rehab allowances, and yield targets to align pricing."
"CNUM-SFRBUY-AUG25-94","ResiCap (RHSS Investments)","Operator/investment manager","Acquires, renovates, and operates SFR at scale","Sun Belt focus incl. TX","Large historical acquisitions footprint","https://www.resicap.com/","https://www.resicap.com/contact/","SFR platform involved in acquisitions, renovations, and operations for institutional capital partners.","N/A","3 – Programmatic; acquisitions via corp channels","Active in Texas with structured underwriting and standardized scopes. Intake typically via corporate contact and broker relationships; responsive to stabilized and near-stabilized pools in target neighborhoods."
"CNUM-SFRBUY-AUG25-95","Bridge Homes (Bridge Investment Group)","Institutional SFR platform","Acquires and operates SFR portfolios","Sun Belt incl. TX; select markets","Growing national footprint","https://www.bridgehomes.com/","https://www.bridgehomes.com/contact","Bridge Investment Group’s SFR platform acquiring scattered-site rentals and small portfolios through broker and direct channels.","N/A","3 – Institutional; responsive when criteria met","In Texas, Bridge evaluates stabilized rentals meeting yield and school criteria. Submissions benefit from concise rent rolls, T-12s, and capex summaries to expedite formal underwriting and term sheets."
"CNUM-SFRBUY-AUG25-96","Mynd Investment Management","Investor services platform","Sources/acquires SFR for investor clients","TX, CA, AZ, NV; expanding coverage","Large investor client base","https://www.mynd.co/","https://www.mynd.co/contact","PM and investment platform that sources and acquires SFR on behalf of investor clients alongside management services.","N/A","2 – Accessible; investor-driven intake","Useful in Texas and Southern California markets to place inventory with active buyers. Intake is straightforward via web contact; teams provide quick buy-box guidance and proof of funds via client mandates."
"CNUM-SFRBUY-AUG25-97","Kairos Living","SFR operator","Acquires SFR for rental operations","TX metros; select Sun Belt markets","Growing owned/managed portfolio","https://www.kairosliving.com/","https://www.kairosliving.com/contact","SFR operator with active acquisitions efforts in Texas and surrounding markets; focuses on yield and school district quality.","N/A","3 – Criteria-driven; approachable via site","Evaluates stabilized or light value-add homes in suburban Texas. Expects clean rent rolls and inspection readiness; provides timely yes/no feedback aligned to target returns and area comps."
"CNUM-SFRBUY-AUG25-98","TCS Management Acquisitions","Property management/investment","Buys and manages SFR/TH for investors","Philadelphia metro and PA markets","Significant local PM presence","https://tcsmgt.com/","https://tcsmgt.com/contact/","Philadelphia-based PM with investment/acquisitions capability; evaluates homes to place with local investors and manage long-term.","(215) 383-1439","2 – Local PM-led; accessible","Useful in Pennsylvania for occupied or rent-ready homes. Team understands neighborhood-level rents and maintenance norms, enabling realistic pricing and swift onboarding to management upon close."
"CNUM-SFRBUY-AUG25-99","Red Ladder Property Solutions","Local NE buyer","Acquires SFR for flip/rental; investor dispositions","Omaha/Lincoln, NE","Active neighborhood presence","https://www.redladderpropertysolutions.com/","https://www.redladderpropertysolutions.com/contact/","Local Nebraska buyer with as-is purchase program and disposition to investors; known in Omaha community.","(402) 578-5446","2 – Local; direct phone/web","Appropriate for scattered-site Nebraska SFR where certainty of close matters. They provide quick price feedback, coordinate inspections, and can close on small packages when pricing aligns with investor demand."
"CNUM-SFRBUY-AUG25-100","Desert Home Cash Buyers","Local CA desert buyer","Buys houses for cash; discreet, fast closings","Coachella Valley incl. Desert Hot Springs","Active local buyer","https://deserthomecashbuyers.com/","https://deserthomecashbuyers.com/","Coachella Valley-focused buyer offering as-is purchases without showings/open houses; emphasizes privacy and speed.","N/A","2 – Local; direct phone/web","Relevant for scattered-site homes in Desert Hot Springs and nearby desert cities. Team understands local rent levels and rehab costs, enabling realistic offers and predictable closings matched to seller timelines."
